time	,	 global_h
2019/1/1 0:00	,	190.202
2019/1/1 1:00	,	319.274
2019/1/1 2:00	,	404.182
2019/1/1 3:00	,	433.707
2019/1/1 4:00	,	406.545
2019/1/1 5:00	,	324.867
2019/1/1 6:00	,	197.331
2019/1/1 7:00	,	52.823
2019/1/1 8:00	,	0.001
2019/1/1 9:00	,	0
2019/1/1 10:00	,	0
2019/1/1 11:00	,	0
2019/1/1 12:00	,	0
2019/1/1 13:00	,	0
2019/1/1 14:00	,	0
2019/1/1 15:00	,	0
2019/1/1 16:00	,	0
2019/1/1 17:00	,	0
2019/1/1 18:00	,	0
2019/1/1 19:00	,	0
2019/1/1 20:00	,	0
2019/1/1 21:00	,	0
2019/1/1 22:00	,	0
2019/1/1 23:00	,	39.881
2019/1/2 0:00	,	180.16
2019/1/2 1:00	,	312.236
2019/1/2 2:00	,	395.972
2019/1/2 3:00	,	427.677
2019/1/2 4:00	,	401.03
2019/1/2 5:00	,	318.887
2019/1/2 6:00	,	193.315
2019/1/2 7:00	,	52.718
2019/1/2 8:00	,	0.001
2019/1/2 9:00	,	0
2019/1/2 10:00	,	0
2019/1/2 11:00	,	0
2019/1/2 12:00	,	0
2019/1/2 13:00	,	0
2019/1/2 14:00	,	0
2019/1/2 15:00	,	0
2019/1/2 16:00	,	0
2019/1/2 17:00	,	0
2019/1/2 18:00	,	0
2019/1/2 19:00	,	0
2019/1/2 20:00	,	0
2019/1/2 21:00	,	0
2019/1/2 22:00	,	0
2019/1/2 23:00	,	41.993
2019/1/3 0:00	,	174.277
2019/1/3 1:00	,	323.15
2019/1/3 2:00	,	408.598
2019/1/3 3:00	,	439.074
2019/1/3 4:00	,	411.9
2019/1/3 5:00	,	329.555
2019/1/3 6:00	,	201.876
2019/1/3 7:00	,	55.762
2019/1/3 8:00	,	0.002
2019/1/3 9:00	,	0
2019/1/3 10:00	,	0
2019/1/3 11:00	,	0
2019/1/3 12:00	,	0
2019/1/3 13:00	,	0
2019/1/3 14:00	,	0
2019/1/3 15:00	,	0
2019/1/3 16:00	,	0
2019/1/3 17:00	,	0
2019/1/3 18:00	,	0
2019/1/3 19:00	,	0
2019/1/3 20:00	,	0
2019/1/3 21:00	,	0
2019/1/3 22:00	,	0
2019/1/3 23:00	,	39.603
2019/1/4 0:00	,	164.279
2019/1/4 1:00	,	307.89
2019/1/4 2:00	,	395.215
2019/1/4 3:00	,	423.956
2019/1/4 4:00	,	397.243
2019/1/4 5:00	,	316.332
2019/1/4 6:00	,	192.128
2019/1/4 7:00	,	52.326
2019/1/4 8:00	,	0.004
2019/1/4 9:00	,	0
2019/1/4 10:00	,	0
2019/1/4 11:00	,	0
2019/1/4 12:00	,	0
2019/1/4 13:00	,	0
2019/1/4 14:00	,	0
2019/1/4 15:00	,	0
2019/1/4 16:00	,	0
2019/1/4 17:00	,	0
2019/1/4 18:00	,	0
2019/1/4 19:00	,	0
2019/1/4 20:00	,	0
2019/1/4 21:00	,	0
2019/1/4 22:00	,	0
2019/1/4 23:00	,	36.426
2019/1/5 0:00	,	164.8
2019/1/5 1:00	,	302.781
2019/1/5 2:00	,	385.863
2019/1/5 3:00	,	415.965
2019/1/5 4:00	,	389.97
2019/1/5 5:00	,	313.069
2019/1/5 6:00	,	192.417
2019/1/5 7:00	,	54.982
2019/1/5 8:00	,	0.005
2019/1/5 9:00	,	0
2019/1/5 10:00	,	0
2019/1/5 11:00	,	0
2019/1/5 12:00	,	0
2019/1/5 13:00	,	0
2019/1/5 14:00	,	0
2019/1/5 15:00	,	0
2019/1/5 16:00	,	0
2019/1/5 17:00	,	0
2019/1/5 18:00	,	0
2019/1/5 19:00	,	0
2019/1/5 20:00	,	0
2019/1/5 21:00	,	0
2019/1/5 22:00	,	0
2019/1/5 23:00	,	50.822
2019/1/6 0:00	,	195.82
2019/1/6 1:00	,	325.219
2019/1/6 2:00	,	410.049
2019/1/6 3:00	,	440.376
2019/1/6 4:00	,	412.103
2019/1/6 5:00	,	322.752
2019/1/6 6:00	,	181.597
2019/1/6 7:00	,	46.315
2019/1/6 8:00	,	0.008
2019/1/6 9:00	,	0
2019/1/6 10:00	,	0
2019/1/6 11:00	,	0
2019/1/6 12:00	,	0
2019/1/6 13:00	,	0
2019/1/6 14:00	,	0
2019/1/6 15:00	,	0
2019/1/6 16:00	,	0
2019/1/6 17:00	,	0
2019/1/6 18:00	,	0
2019/1/6 19:00	,	0
2019/1/6 20:00	,	0
2019/1/6 21:00	,	0
2019/1/6 22:00	,	0
2019/1/6 23:00	,	40.717
2019/1/7 0:00	,	167.795
2019/1/7 1:00	,	278.815
2019/1/7 2:00	,	334.839
2019/1/7 3:00	,	329.828
2019/1/7 4:00	,	287.665
2019/1/7 5:00	,	217.479
2019/1/7 6:00	,	128.328
2019/1/7 7:00	,	38.067
2019/1/7 8:00	,	0.014
2019/1/7 9:00	,	0
2019/1/7 10:00	,	0
2019/1/7 11:00	,	0
2019/1/7 12:00	,	0
2019/1/7 13:00	,	0
2019/1/7 14:00	,	0
2019/1/7 15:00	,	0
2019/1/7 16:00	,	0
2019/1/7 17:00	,	0
