day_and_time	,	global_h
2019/1/1 0:00	,	97.989
2019/1/1 1:00	,	204.6
2019/1/1 2:00	,	311.312
2019/1/1 3:00	,	381.773
2019/1/1 4:00	,	408.016
2019/1/1 5:00	,	386.438
2019/1/1 6:00	,	339.276
2019/1/1 7:00	,	246.126
2019/1/1 8:00	,	130.141
2019/1/1 9:00	,	37.525
2019/1/1 10:00	,	0.28
2019/1/1 11:00	,	0
2019/1/1 12:00	,	0
2019/1/1 13:00	,	0
2019/1/1 14:00	,	0
2019/1/1 15:00	,	0
2019/1/1 16:00	,	0
2019/1/1 17:00	,	0
2019/1/1 18:00	,	0
2019/1/1 19:00	,	0
2019/1/1 20:00	,	0
2019/1/1 21:00	,	0
2019/1/1 22:00	,	0
2019/1/1 23:00	,	13.035
2019/1/2 0:00	,	80.323
2019/1/2 1:00	,	160.105
2019/1/2 2:00	,	234.703
2019/1/2 3:00	,	308.138
2019/1/2 4:00	,	328.249
2019/1/2 5:00	,	332.089
2019/1/2 6:00	,	303.517
2019/1/2 7:00	,	237.915
2019/1/2 8:00	,	143.515
2019/1/2 9:00	,	43.957
2019/1/2 10:00	,	0.324
2019/1/2 11:00	,	0
2019/1/2 12:00	,	0
2019/1/2 13:00	,	0
2019/1/2 14:00	,	0
2019/1/2 15:00	,	0
2019/1/2 16:00	,	0
2019/1/2 17:00	,	0
2019/1/2 18:00	,	0
2019/1/2 19:00	,	0
2019/1/2 20:00	,	0
2019/1/2 21:00	,	0
2019/1/2 22:00	,	0
2019/1/2 23:00	,	22.527
2019/1/3 0:00	,	140.2
2019/1/3 1:00	,	272.805
2019/1/3 2:00	,	370.754
2019/1/3 3:00	,	452.352
2019/1/3 4:00	,	506.502
2019/1/3 5:00	,	485.194
2019/1/3 6:00	,	411.506
2019/1/3 7:00	,	313.335
2019/1/3 8:00	,	179.601
2019/1/3 9:00	,	53.45
2019/1/3 10:00	,	0.385
2019/1/3 11:00	,	0
2019/1/3 12:00	,	0
2019/1/3 13:00	,	0
2019/1/3 14:00	,	0
2019/1/3 15:00	,	0
2019/1/3 16:00	,	0
2019/1/3 17:00	,	0
2019/1/3 18:00	,	0
2019/1/3 19:00	,	0
2019/1/3 20:00	,	0
2019/1/3 21:00	,	0
2019/1/3 22:00	,	0
2019/1/3 23:00	,	25.619
2019/1/4 0:00	,	156.431
2019/1/4 1:00	,	307.284
2019/1/4 2:00	,	434.639
2019/1/4 3:00	,	546.742
2019/1/4 4:00	,	634.87
2019/1/4 5:00	,	668.619
2019/1/4 6:00	,	556.878
2019/1/4 7:00	,	399.903
2019/1/4 8:00	,	217.766
2019/1/4 9:00	,	63.69
2019/1/4 10:00	,	0.436
2019/1/4 11:00	,	0
2019/1/4 12:00	,	0
2019/1/4 13:00	,	0
2019/1/4 14:00	,	0
2019/1/4 15:00	,	0
2019/1/4 16:00	,	0
2019/1/4 17:00	,	0
2019/1/4 18:00	,	0
2019/1/4 19:00	,	0
2019/1/4 20:00	,	0
2019/1/4 21:00	,	0
2019/1/4 22:00	,	0
2019/1/4 23:00	,	25.127
2019/1/5 0:00	,	159.518
2019/1/5 1:00	,	308.629
2019/1/5 2:00	,	460.271
2019/1/5 3:00	,	656.058
2019/1/5 4:00	,	689.641
2019/1/5 5:00	,	692.731
2019/1/5 6:00	,	570.92
2019/1/5 7:00	,	393.78
2019/1/5 8:00	,	205.733
2019/1/5 9:00	,	62.113
2019/1/5 10:00	,	0.471
2019/1/5 11:00	,	0
2019/1/5 12:00	,	0
2019/1/5 13:00	,	0
2019/1/5 14:00	,	0
2019/1/5 15:00	,	0
2019/1/5 16:00	,	0
2019/1/5 17:00	,	0
2019/1/5 18:00	,	0
2019/1/5 19:00	,	0
2019/1/5 20:00	,	0
2019/1/5 21:00	,	0
2019/1/5 22:00	,	0
2019/1/5 23:00	,	20.161
2019/1/6 0:00	,	122.142
2019/1/6 1:00	,	269.562
2019/1/6 2:00	,	425.798
2019/1/6 3:00	,	567.686
2019/1/6 4:00	,	670.45
2019/1/6 5:00	,	637.212
2019/1/6 6:00	,	548.674
2019/1/6 7:00	,	395.388
2019/1/6 8:00	,	215.26
2019/1/6 9:00	,	54.584
2019/1/6 10:00	,	0.42
2019/1/6 11:00	,	0
2019/1/6 12:00	,	0
2019/1/6 13:00	,	0
2019/1/6 14:00	,	0
2019/1/6 15:00	,	0
2019/1/6 16:00	,	0
2019/1/6 17:00	,	0
2019/1/6 18:00	,	0
2019/1/6 19:00	,	0
2019/1/6 20:00	,	0
2019/1/6 21:00	,	0
2019/1/6 22:00	,	0
2019/1/6 23:00	,	36.349
2019/1/7 0:00	,	208.394
2019/1/7 1:00	,	435.023
2019/1/7 2:00	,	612.639
2019/1/7 3:00	,	708.707
2019/1/7 4:00	,	729.709
2019/1/7 5:00	,	710.564
2019/1/7 6:00	,	602.643
2019/1/7 7:00	,	439.041
2019/1/7 8:00	,	240.479
2019/1/7 9:00	,	73.337
2019/1/7 10:00	,	0.543
2019/1/7 11:00	,	0
2019/1/7 12:00	,	0
2019/1/7 13:00	,	0
2019/1/7 14:00	,	0
2019/1/7 15:00	,	0
2019/1/7 16:00	,	0
2019/1/7 17:00	,	0
2019/1/7 18:00	,	0
2019/1/7 19:00	,	0
2019/1/7 20:00	,	0
2019/1/7 21:00	,	0
2019/1/7 22:00	,	0
2019/1/7 23:00	,	33.957
2019/1/8 0:00	,	188.675
2019/1/8 1:00	,	393.81
2019/1/8 2:00	,	610.099
2019/1/8 3:00	,	716.459
2019/1/8 4:00	,	751.189
2019/1/8 5:00	,	735.054
2019/1/8 6:00	,	640.169
2019/1/8 7:00	,	463.97
2019/1/8 8:00	,	267.512
2019/1/8 9:00	,	72.026
2019/1/8 10:00	,	0.524
2019/1/8 11:00	,	0
2019/1/8 12:00	,	0
2019/1/8 13:00	,	0
2019/1/8 14:00	,	0
2019/1/8 15:00	,	0
2019/1/8 16:00	,	0
2019/1/8 17:00	,	0
2019/1/8 18:00	,	0
2019/1/8 19:00	,	0
2019/1/8 20:00	,	0
2019/1/8 21:00	,	0
2019/1/8 22:00	,	0
2019/1/8 23:00	,	29.615
2019/1/9 0:00	,	170.264
2019/1/9 1:00	,	337.207
2019/1/9 2:00	,	534.564
2019/1/9 3:00	,	680.383
2019/1/9 4:00	,	693.016
2019/1/9 5:00	,	631.859
2019/1/9 6:00	,	522.411
2019/1/9 7:00	,	410.253
2019/1/9 8:00	,	218.59
2019/1/9 9:00	,	62.75
2019/1/9 10:00	,	0.557
2019/1/9 11:00	,	0
2019/1/9 12:00	,	0
2019/1/9 13:00	,	0
2019/1/9 14:00	,	0
2019/1/9 15:00	,	0
2019/1/9 16:00	,	0
2019/1/9 17:00	,	0
2019/1/9 18:00	,	0
2019/1/9 19:00	,	0
2019/1/9 20:00	,	0
