day_and_time,global_h
2017/1/1 0:00	,	0
2017/1/1 1:00	,	0.722
2017/1/1 2:00	,	54.558
2017/1/1 3:00	,	173.15
2017/1/1 4:00	,	348.011
2017/1/1 5:00	,	456.559
2017/1/1 6:00	,	487.156
2017/1/1 7:00	,	458.511
2017/1/1 8:00	,	369.871
2017/1/1 9:00	,	234.451
2017/1/1 10:00	,	78.055
2017/1/1 11:00	,	0.758
2017/1/1 12:00	,	0
2017/1/1 13:00	,	0
2017/1/1 14:00	,	0
2017/1/1 15:00	,	0
2017/1/1 16:00	,	0
2017/1/1 17:00	,	0
2017/1/1 18:00	,	0
2017/1/1 19:00	,	0
2017/1/1 20:00	,	0
2017/1/1 21:00	,	0
2017/1/1 22:00	,	0
2017/1/1 23:00	,	0
2017/1/2 0:00	,	0
2017/1/2 1:00	,	0.922
2017/1/2 2:00	,	82.138
2017/1/2 3:00	,	233.48
2017/1/2 4:00	,	363.768
2017/1/2 5:00	,	455.232
2017/1/2 6:00	,	491.759
2017/1/2 7:00	,	464.834
2017/1/2 8:00	,	376.884
2017/1/2 9:00	,	234.604
2017/1/2 10:00	,	78.792
2017/1/2 11:00	,	0.791
2017/1/2 12:00	,	0
2017/1/2 13:00	,	0
2017/1/2 14:00	,	0
2017/1/2 15:00	,	0
2017/1/2 16:00	,	0
2017/1/2 17:00	,	0
2017/1/2 18:00	,	0
2017/1/2 19:00	,	0
2017/1/2 20:00	,	0
2017/1/2 21:00	,	0
2017/1/2 22:00	,	0
2017/1/2 23:00	,	0
2017/1/3 0:00	,	0
2017/1/3 1:00	,	1.031
2017/1/3 2:00	,	83.45
2017/1/3 3:00	,	240.831
2017/1/3 4:00	,	376.6
2017/1/3 5:00	,	465.143
2017/1/3 6:00	,	494.739
2017/1/3 7:00	,	465.681
2017/1/3 8:00	,	374.138
2017/1/3 9:00	,	237.096
2017/1/3 10:00	,	78.682
2017/1/3 11:00	,	0.759
2017/1/3 12:00	,	0
2017/1/3 13:00	,	0
2017/1/3 14:00	,	0
2017/1/3 15:00	,	0
2017/1/3 16:00	,	0
2017/1/3 17:00	,	0
2017/1/3 18:00	,	0
2017/1/3 19:00	,	0
2017/1/3 20:00	,	0
2017/1/3 21:00	,	0
2017/1/3 22:00	,	0
2017/1/3 23:00	,	0
2017/1/4 0:00	,	0
2017/1/4 1:00	,	1.059
2017/1/4 2:00	,	53.131
2017/1/4 3:00	,	97.789
2017/1/4 4:00	,	133.832
2017/1/4 5:00	,	168.585
2017/1/4 6:00	,	259.572
2017/1/4 7:00	,	385.925
2017/1/4 8:00	,	341.479
2017/1/4 9:00	,	200.232
2017/1/4 10:00	,	66.541
2017/1/4 11:00	,	0.984
2017/1/4 12:00	,	0
2017/1/4 13:00	,	0
2017/1/4 14:00	,	0
2017/1/4 15:00	,	0
2017/1/4 16:00	,	0
2017/1/4 17:00	,	0
2017/1/4 18:00	,	0
2017/1/4 19:00	,	0
2017/1/4 20:00	,	0
2017/1/4 21:00	,	0
2017/1/4 22:00	,	0
2017/1/4 23:00	,	0
2017/1/5 0:00	,	0
2017/1/5 1:00	,	0.518
2017/1/5 2:00	,	32.742
2017/1/5 3:00	,	104.824
2017/1/5 4:00	,	186.255
2017/1/5 5:00	,	273.69
2017/1/5 6:00	,	374.897
2017/1/5 7:00	,	387.51
2017/1/5 8:00	,	263.606
2017/1/5 9:00	,	188.843
2017/1/5 10:00	,	75.107
2017/1/5 11:00	,	1.059
2017/1/5 12:00	,	0
2017/1/5 13:00	,	0
2017/1/5 14:00	,	0
2017/1/5 15:00	,	0
2017/1/5 16:00	,	0
2017/1/5 17:00	,	0
2017/1/5 18:00	,	0
2017/1/5 19:00	,	0
2017/1/5 20:00	,	0
2017/1/5 21:00	,	0
2017/1/5 22:00	,	0
2017/1/5 23:00	,	0
2017/1/6 0:00	,	0
2017/1/6 1:00	,	1.276
2017/1/6 2:00	,	82.988
2017/1/6 3:00	,	239.016
2017/1/6 4:00	,	374.883
2017/1/6 5:00	,	450.029
2017/1/6 6:00	,	428.986
2017/1/6 7:00	,	366.683
2017/1/6 8:00	,	289.42
2017/1/6 9:00	,	175.245
2017/1/6 10:00	,	54.883
2017/1/6 11:00	,	0.735
2017/1/6 12:00	,	0
2017/1/6 13:00	,	0
2017/1/6 14:00	,	0
2017/1/6 15:00	,	0
2017/1/6 16:00	,	0
2017/1/6 17:00	,	0
2017/1/6 18:00	,	0
2017/1/6 19:00	,	0
2017/1/6 20:00	,	0
2017/1/6 21:00	,	0
2017/1/6 22:00	,	0
2017/1/6 23:00	,	0
2017/1/7 0:00	,	0
2017/1/7 1:00	,	0.911
2017/1/7 2:00	,	37.363
2017/1/7 3:00	,	104.717
2017/1/7 4:00	,	182.133
2017/1/7 5:00	,	246.982
2017/1/7 6:00	,	237.617
2017/1/7 7:00	,	209.248
2017/1/7 8:00	,	169.653
2017/1/7 9:00	,	99.049
2017/1/7 10:00	,	34.827
2017/1/7 11:00	,	0.909
2017/1/7 12:00	,	0
2017/1/7 13:00	,	0
2017/1/7 14:00	,	0
2017/1/7 15:00	,	0
2017/1/7 16:00	,	0
2017/1/7 17:00	,	0
2017/1/7 18:00	,	0
2017/1/7 19:00	,	0
2017/1/7 20:00	,	0
2017/1/7 21:00	,	0
2017/1/7 22:00	,	0
2017/1/7 23:00	,	0
2017/1/8 0:00	,	0
2017/1/8 1:00	,	0.518
2017/1/8 2:00	,	25.847
2017/1/8 3:00	,	79.969
2017/1/8 4:00	,	127.994
2017/1/8 5:00	,	190.458
2017/1/8 6:00	,	220.268
2017/1/8 7:00	,	236.882
2017/1/8 8:00	,	210.542
2017/1/8 9:00	,	132.919
2017/1/8 10:00	,	50.69
2017/1/8 11:00	,	0.889
2017/1/8 12:00	,	0
2017/1/8 13:00	,	0
