time	，	radiation_surface
2016/1/1 0:00	，	0
2016/1/1 1:00	，	0.479
2016/1/1 2:00	，	50.368
2016/1/1 3:00	，	177.227
2016/1/1 4:00	，	328.857
2016/1/1 5:00	，	427.194
2016/1/1 6:00	，	472.648
2016/1/1 7:00	，	445.217
2016/1/1 8:00	，	334.021
2016/1/1 9:00	，	176.128
2016/1/1 10:00	，	50.894
2016/1/1 11:00	，	0.529
2016/1/1 12:00	，	0
2016/1/1 13:00	，	0
2016/1/1 14:00	，	0
2016/1/1 15:00	，	0
2016/1/1 16:00	，	0
2016/1/1 17:00	，	0
2016/1/1 18:00	，	0
2016/1/1 19:00	，	0
2016/1/1 20:00	，	0
2016/1/1 21:00	，	0
2016/1/1 22:00	，	0
2016/1/1 23:00	，	0
2016/1/2 0:00	，	0
2016/1/2 1:00	，	0.86
2016/1/2 2:00	，	60.312
2016/1/2 3:00	，	161.66
2016/1/2 4:00	，	236.878
2016/1/2 5:00	，	259.542
2016/1/2 6:00	，	238.869
2016/1/2 7:00	，	207.646
2016/1/2 8:00	，	166.034
2016/1/2 9:00	，	115.571
2016/1/2 10:00	，	50.855
2016/1/2 11:00	，	0.671
2016/1/2 12:00	，	0
2016/1/2 13:00	，	0
2016/1/2 14:00	，	0
2016/1/2 15:00	，	0
2016/1/2 16:00	，	0
2016/1/2 17:00	，	0
2016/1/2 18:00	，	0
2016/1/2 19:00	，	0
2016/1/2 20:00	，	0
2016/1/2 21:00	，	0
2016/1/2 22:00	，	0
2016/1/2 23:00	，	0
2016/1/3 0:00	，	0
2016/1/3 1:00	，	1.054
2016/1/3 2:00	，	89.084
2016/1/3 3:00	，	250.552
2016/1/3 4:00	，	384.653
2016/1/3 5:00	，	473.666
2016/1/3 6:00	，	505.043
2016/1/3 7:00	，	476.66
2016/1/3 8:00	，	387.262
2016/1/3 9:00	，	247.329
2016/1/3 10:00	，	87.042
2016/1/3 11:00	，	0.937
2016/1/3 12:00	，	0
2016/1/3 13:00	，	0
2016/1/3 14:00	，	0
2016/1/3 15:00	，	0
2016/1/3 16:00	，	0
2016/1/3 17:00	，	0
2016/1/3 18:00	，	0
2016/1/3 19:00	，	0
2016/1/3 20:00	，	0
2016/1/3 21:00	，	0
2016/1/3 22:00	，	0
2016/1/3 23:00	，	0
2016/1/4 0:00	，	0
2016/1/4 1:00	，	1.127
2016/1/4 2:00	，	89.023
2016/1/4 3:00	，	251.639
2016/1/4 4:00	，	389.072
2016/1/4 5:00	，	474.948
2016/1/4 6:00	，	483.354
2016/1/4 7:00	，	470.653
2016/1/4 8:00	，	274.702
2016/1/4 9:00	，	127.918
2016/1/4 10:00	，	32.454
2016/1/4 11:00	，	0.596
2016/1/4 12:00	，	0
2016/1/4 13:00	，	0
2016/1/4 14:00	，	0
2016/1/4 15:00	，	0
2016/1/4 16:00	，	0
2016/1/4 17:00	，	0
2016/1/4 18:00	，	0
2016/1/4 19:00	，	0
2016/1/4 20:00	，	0
2016/1/4 21:00	，	0
2016/1/4 22:00	，	0
2016/1/4 23:00	，	0
2016/1/5 0:00	，	0
2016/1/5 1:00	，	1.13
2016/1/5 2:00	，	73.041
2016/1/5 3:00	，	208.928
2016/1/5 4:00	，	337.363
2016/1/5 5:00	，	426.682
2016/1/5 6:00	，	401.751
2016/1/5 7:00	，	306.699
2016/1/5 8:00	，	260.389
2016/1/5 9:00	，	188.813
2016/1/5 10:00	，	74.959
2016/1/5 11:00	，	1.094
2016/1/5 12:00	，	0
2016/1/5 13:00	，	0
2016/1/5 14:00	，	0
2016/1/5 15:00	，	0
2016/1/5 16:00	，	0
2016/1/5 17:00	，	0
2016/1/5 18:00	，	0
2016/1/5 19:00	，	0
2016/1/5 20:00	，	0
2016/1/5 21:00	，	0
2016/1/5 22:00	，	0
2016/1/5 23:00	，	0
2016/1/6 0:00	，	0
2016/1/6 1:00	，	1.374
2016/1/6 2:00	，	92.612
2016/1/6 3:00	，	255.456
2016/1/6 4:00	，	393.037
2016/1/6 5:00	，	481.783
2016/1/6 6:00	，	511.467
2016/1/6 7:00	，	478.64
