day_and_time	,	global_h
2018/1/1 0:00	,	0
2018/1/1 1:00	,	0.503
2018/1/1 2:00	,	37.266
2018/1/1 3:00	,	113.019
2018/1/1 4:00	,	200.152
2018/1/1 5:00	,	279.485
2018/1/1 6:00	,	327.279
2018/1/1 7:00	,	322.925
2018/1/1 8:00	,	271.073
2018/1/1 9:00	,	172.992
2018/1/1 10:00	,	56.208
2018/1/1 11:00	,	0.577
2018/1/1 12:00	,	0
2018/1/1 13:00	,	0
2018/1/1 14:00	,	0
2018/1/1 15:00	,	0
2018/1/1 16:00	,	0
2018/1/1 17:00	,	0
2018/1/1 18:00	,	0
2018/1/1 19:00	,	0
2018/1/1 20:00	,	0
2018/1/1 21:00	,	0
2018/1/1 22:00	,	0
2018/1/1 23:00	,	0
2018/1/2 0:00	,	0
2018/1/2 1:00	,	0.871
2018/1/2 2:00	,	77.405
2018/1/2 3:00	,	235.143
2018/1/2 4:00	,	373.722
2018/1/2 5:00	,	463.823
2018/1/2 6:00	,	494.252
2018/1/2 7:00	,	462.161
2018/1/2 8:00	,	371.855
2018/1/2 9:00	,	235.157
2018/1/2 10:00	,	78.946
2018/1/2 11:00	,	0.79
2018/1/2 12:00	,	0
2018/1/2 13:00	,	0
2018/1/2 14:00	,	0
2018/1/2 15:00	,	0
2018/1/2 16:00	,	0
2018/1/2 17:00	,	0
2018/1/2 18:00	,	0
2018/1/2 19:00	,	0
2018/1/2 20:00	,	0
2018/1/2 21:00	,	0
2018/1/2 22:00	,	0
2018/1/2 23:00	,	0
2018/1/3 0:00	,	0
2018/1/3 1:00	,	1.024
2018/1/3 2:00	,	87.312
2018/1/3 3:00	,	251.395
2018/1/3 4:00	,	391.712
2018/1/3 5:00	,	482.334
2018/1/3 6:00	,	512.817
2018/1/3 7:00	,	480.428
2018/1/3 8:00	,	388.657
2018/1/3 9:00	,	248.583
2018/1/3 10:00	,	85.197
2018/1/3 11:00	,	0.918
2018/1/3 12:00	,	0
2018/1/3 13:00	,	0
2018/1/3 14:00	,	0
2018/1/3 15:00	,	0
2018/1/3 16:00	,	0
2018/1/3 17:00	,	0
2018/1/3 18:00	,	0
2018/1/3 19:00	,	0
2018/1/3 20:00	,	0
2018/1/3 21:00	,	0
2018/1/3 22:00	,	0
2018/1/3 23:00	,	0
2018/1/4 0:00	,	0
2018/1/4 1:00	,	0.86
2018/1/4 2:00	,	68.588
2018/1/4 3:00	,	210.973
2018/1/4 4:00	,	352.093
2018/1/4 5:00	,	451.689
2018/1/4 6:00	,	482.213
2018/1/4 7:00	,	444.995
2018/1/4 8:00	,	356.035
2018/1/4 9:00	,	231.893
2018/1/4 10:00	,	79.911
2018/1/4 11:00	,	0.958
2018/1/4 12:00	,	0
2018/1/4 13:00	,	0
2018/1/4 14:00	,	0
2018/1/4 15:00	,	0
2018/1/4 16:00	,	0
2018/1/4 17:00	,	0
2018/1/4 18:00	,	0
2018/1/4 19:00	,	0
2018/1/4 20:00	,	0
2018/1/4 21:00	,	0
